浙江频道 2026/07/13 更新,#genre#
深圳卫视,http://0.0.0.0:0/rtp/233.18.204.146:5140$576p
深圳卫视,http://0.0.0.0:0/rtp/233.18.204.89:5140$1080p
湖北卫视,http://0.0.0.0:0/rtp/233.18.204.142:5140$576p
湖北卫视,http://0.0.0.0:0/rtp/233.18.204.92:5140$1080p
湖南卫视,http://0.0.0.0:0/rtp/233.18.204.119:5140$576p
湖南卫视,http://0.0.0.0:0/rtp/233.18.204.86:5140$1080p
甘肃卫视,http://0.0.0.0:0/rtp/233.18.204.110:5140$1080p
甘肃卫视,http://0.0.0.0:0/rtp/233.18.204.137:5140$576p
广西卫视,http://0.0.0.0:0/rtp/233.18.204.123:5140$576p
西藏卫视,http://0.0.0.0:0/rtp/233.18.204.134:5140$576p
西藏卫视,http://0.0.0.0:0/rtp/233.18.204.222:5140$1080p
贵州卫视,http://0.0.0.0:0/rtp/233.18.204.101:5140$1080p
贵州卫视,http://0.0.0.0:0/rtp/233.18.204.144:5140$576p
辽宁卫视,http://0.0.0.0:0/rtp/233.18.204.126:5140$576p
辽宁卫视,http://0.0.0.0:0/rtp/233.18.204.96:5140$1080p
重庆卫视,http://0.0.0.0:0/rtp/233.18.204.100:5140$1080p
重庆卫视,http://0.0.0.0:0/rtp/233.18.204.143:5140$576p
陕西卫视,http://0.0.0.0:0/rtp/233.18.204.135:5140$576p
陕西卫视,http://0.0.0.0:0/rtp/233.18.204.223:5140
青海卫视,http://0.0.0.0:0/rtp/233.18.204.133:5140$576p
黑龙江卫视,http://0.0.0.0:0/rtp/233.18.204.139:5140$576p
黑龙江卫视,http://0.0.0.0:0/rtp/233.18.204.90:5140$1080p
党员远程教育,http://0.0.0.0:0/rtp/233.18.204.202:5140$1080p
党员远程教育,http://0.0.0.0:0/rtp/233.18.204.203:5140$576p
嘉佳卡通,http://0.0.0.0:0/rtp/233.18.204.151:5140$576p
央广购物,http://0.0.0.0:0/rtp/233.18.204.15:5140$576p
央广购物,http://0.0.0.0:0/rtp/233.18.204.39:5140$1080p
好享购物,http://0.0.0.0:0/rtp/233.18.204.36:5140$576p
家庭理财,http://0.0.0.0:0/rtp/233.18.204.157:5140$576p
快乐垂钓,http://0.0.0.0:0/rtp/233.18.204.42:5140$1080p
法治天地,http://0.0.0.0:0/rtp/233.18.204.12:5140$576p
法治天地,http://0.0.0.0:0/rtp/233.18.204.49:5140$1080p
电影,http://0.0.0.0:0/rtp/233.18.204.116:5140$1080p
茶频道,http://0.0.0.0:0/rtp/233.18.204.43:5140$1080p
财富天下,http://0.0.0.0:0/rtp/233.18.204.231:5140$1080p
财富天下,http://0.0.0.0:0/rtp/233.18.204.41:5140$576p
金鹰卡通,http://0.0.0.0:0/rtp/233.18.204.113:5140$1080p
金鹰卡通,http://0.0.0.0:0/rtp/233.18.204.150:5140$576p
金鹰纪实,http://0.0.0.0:0/rtp/233.18.204.104:5140$1080p
无信号,http://0.0.0.0:0/rtp/233.18.204.208:5140$576p
无信号,http://0.0.0.0:0/rtp/233.18.204.216:5140
未知,http://0.0.0.0:0/rtp/233.18.204.206:5140
未知,http://0.0.0.0:0/rtp/233.18.204.207:5140

上海电信-组播2,#genre#
BESTV,http://0.0.0.0:0/rtp/233.18.204.158:5140$1080p
BESTV,http://0.0.0.0:0/rtp/233.18.204.159:5140$1080p
BESTV,http://0.0.0.0:0/rtp/233.18.204.161:5140$1080p
BESTV,http://0.0.0.0:0/rtp/233.18.204.162:5140$1080p
BESTV,http://0.0.0.0:0/rtp/233.18.204.163:5140$1080p
BESTV,http://0.0.0.0:0/rtp/233.18.204.164:5140$1080p
BESTV,http://0.0.0.0:0/rtp/233.18.204.165:5140$1080p
BESTV,http://0.0.0.0:0/rtp/233.18.204.166:5140$1080p
BESTV,http://0.0.0.0:0/rtp/233.18.204.167:5140$1080p
BESTV,http://0.0.0.0:0/rtp/233.18.204.168:5140$1080p
BESTV,http://0.0.0.0:0/rtp/233.18.204.160:5140$1080p
BESTV4K动画,http://0.0.0.0:0/rtp/233.18.204.171:5140$2160p
BESTV4K电影,http://0.0.0.0:0/rtp/233.18.204.169:5140$2160p
BESTV4K纪录,http://0.0.0.0:0/rtp/233.18.204.170:5140$2160p
BRTV卡酷少儿,http://0.0.0.0:0/rtp/233.18.204.109:5140$1080p
BRTV卡酷少儿,http://0.0.0.0:0/rtp/233.18.204.152:5140$576p
CCTV-1 综合,http://0.0.0.0:0/rtp/233.18.204.20:5140$576p
CCTV-1 综合,http://0.0.0.0:0/rtp/233.18.204.52:5140$1080p
CCTV-2 财经,http://0.0.0.0:0/rtp/233.18.204.21:5140$576p
CCTV-2 财经,http://0.0.0.0:0/rtp/233.18.204.68:5140$1080p
CCTV-3 综艺,http://0.0.0.0:0/rtp/233.18.204.22:5140$576p
CCTV-3 综艺,http://0.0.0.0:0/rtp/233.18.204.69:5140$1080p
CCTV-4 中文国际,http://0.0.0.0:0/rtp/233.18.204.23:5140$576p
CCTV-4 中文国际,http://0.0.0.0:0/rtp/233.18.204.70:5140$1080p
CCTV-5 体育,http://0.0.0.0:0/rtp/233.18.204.24:5140$576p
CCTV-5 体育,http://0.0.0.0:0/rtp/233.18.204.71:5140$1080p
CCTV-5+ 体育赛事,http://0.0.0.0:0/rtp/233.18.204.67:5140$1080p
CCTV-6 电影,http://0.0.0.0:0/rtp/233.18.204.25:5140$576p
CCTV-6 电影,http://0.0.0.0:0/rtp/233.18.204.72:5140$1080p
CCTV-7 国防军事,http://0.0.0.0:0/rtp/233.18.204.26:5140$576p
CCTV-7 国防军事,http://0.0.0.0:0/rtp/233.18.204.73:5140$1080p
CCTV-8 电视剧,http://0.0.0.0:0/rtp/233.18.204.27:5140$576p
CCTV-8 电视剧,http://0.0.0.0:0/rtp/233.18.204.74:5140$1080p
CCTV-9 纪录,http://0.0.0.0:0/rtp/233.18.204.40:5140$576p
CCTV-9 纪录,http://0.0.0.0:0/rtp/233.18.204.75:5140$1080p
CCTV-10 科教,http://0.0.0.0:0/rtp/233.18.204.29:5140$576p
CCTV-10 科教,http://0.0.0.0:0/rtp/233.18.204.76:5140$1080p
CCTV-11 戏曲,http://0.0.0.0:0/rtp/233.18.204.30:5140$576p
CCTV-11 戏曲,http://0.0.0.0:0/rtp/233.18.204.77:5140$1080p
CCTV-12 社会与法,http://0.0.0.0:0/rtp/233.18.204.31:5140$576p
CCTV-12 社会与法,http://0.0.0.0:0/rtp/233.18.204.78:5140$1080p
CCTV-13 新闻,http://0.0.0.0:0/rtp/233.18.204.32:5140$576p
CCTV-13 新闻,http://0.0.0.0:0/rtp/233.18.204.79:5140$1080p
CCTV-14 少儿,http://0.0.0.0:0/rtp/233.18.204.33:5140$576p
CCTV-14 少儿,http://0.0.0.0:0/rtp/233.18.204.80:5140$1080p
CCTV-15 音乐,http://0.0.0.0:0/rtp/233.18.204.34:5140$576p
CCTV-15 音乐,http://0.0.0.0:0/rtp/233.18.204.81:5140$1080p
CCTV-16 奥林匹克,http://0.0.0.0:0/rtp/233.18.204.114:5140$2160p
CCTV-16 奥林匹克,http://0.0.0.0:0/rtp/233.18.204.215:5140$2160p
CCTV-16 奥林匹克,http://0.0.0.0:0/rtp/233.18.204.82:5140$1080p
CCTV-17 农业农村,http://0.0.0.0:0/rtp/233.18.204.35:5140$576p
CCTV-17 农业农村,http://0.0.0.0:0/rtp/233.18.204.83:5140$1080p
CCTV4K,http://0.0.0.0:0/rtp/233.18.204.188:5140$2160p
CCTV4K,http://0.0.0.0:0/rtp/233.18.204.204:5140$2160p
CCTV世界地理,http://0.0.0.0:0/rtp/233.18.204.179:5140$1080p
CCTV兵器科技,http://0.0.0.0:0/rtp/233.18.204.178:5140$1080p
CCTV央视台球,http://0.0.0.0:0/rtp/233.18.204.177:5140$1080p
CCTV央视文化精品,http://0.0.0.0:0/rtp/233.18.204.186:5140$1080p
CCTV女性时尚,http://0.0.0.0:0/rtp/233.18.204.180:5140$1080p
CCTV怀旧剧场,http://0.0.0.0:0/rtp/233.18.204.182:5140$1080p
CCTV第一剧场,http://0.0.0.0:0/rtp/233.18.204.184:5140$1080p
CCTV风云剧场,http://0.0.0.0:0/rtp/233.18.204.183:5140$1080p
CCTV风云足球,http://0.0.0.0:0/rtp/233.18.204.176:5140$1080p
CCTV风云音乐,http://0.0.0.0:0/rtp/233.18.204.185:5140$1080p
CCTV高尔夫网球,http://0.0.0.0:0/rtp/233.18.204.181:5140$1080p
CETV1,http://0.0.0.0:0/rtp/233.18.204.153:5140$576p
CETV1,http://0.0.0.0:0/rtp/233.18.204.98:5140$1080p
CETV2,http://0.0.0.0:0/rtp/233.18.204.154:5140$576p
CETV4,http://0.0.0.0:0/rtp/233.18.204.111:5140$1080p
CETV早期教育,http://0.0.0.0:0/rtp/233.18.204.187:5140$1080p
CGTN,http://0.0.0.0:0/rtp/233.18.204.28:5140$576p
CHC动作电影,http://0.0.0.0:0/rtp/233.18.204.174:5140$1080p
CHC家庭影院,http://0.0.0.0:0/rtp/233.18.204.173:5140$1080p
CHC影迷电影,http://0.0.0.0:0/rtp/233.18.204.175:5140$1080p
上海新闻综合,http://0.0.0.0:0/rtp/233.18.204.189:5140$576p
上海新闻综合,http://0.0.0.0:0/rtp/233.18.204.57:5140$1080p
上海都市,http://0.0.0.0:0/rtp/233.18.204.2:5140$576p
上海都市,http://0.0.0.0:0/rtp/233.18.204.53:5140$1080p
上海教育,http://0.0.0.0:0/rtp/233.18.204.11:5140$576p
上海教育,http://0.0.0.0:0/rtp/233.18.204.63:5140$1080p
东方影视,http://0.0.0.0:0/rtp/233.18.204.4:5140$576p
东方影视,http://0.0.0.0:0/rtp/233.18.204.55:5140$1080p
东方财经,http://0.0.0.0:0/rtp/233.18.204.65:5140$1080p
东方购物,http://0.0.0.0:0/rtp/233.18.204.10:5140$576p
东方购物,http://0.0.0.0:0/rtp/233.18.204.61:5140$1080p
东方购物,http://0.0.0.0:0/rtp/233.18.204.62:5140$1080p
东方购物,http://0.0.0.0:0/rtp/233.18.204.9:5140$576p
乐游,http://0.0.0.0:0/rtp/233.18.204.47:5140$1080p
五星体育,http://0.0.0.0:0/rtp/233.18.204.58:5140$1080p
五星体育,http://0.0.0.0:0/rtp/233.18.204.6:5140$576p
动漫秀场,http://0.0.0.0:0/rtp/233.18.204.46:5140$1080p
哈哈炫动,http://0.0.0.0:0/rtp/233.18.204.54:5140$1080p
哈哈炫动,http://0.0.0.0:0/rtp/233.18.204.7:5140$576p
生活时尚,http://0.0.0.0:0/rtp/233.18.204.45:5140$1080p
都市剧场,http://0.0.0.0:0/rtp/233.18.204.48:5140$1080p
第一财经,http://0.0.0.0:0/rtp/233.18.204.59:5140$1080p
第一财经,http://0.0.0.0:0/rtp/233.18.204.5:5140$576p
游戏风云,http://0.0.0.0:0/rtp/233.18.204.13:5140$576p
游戏风云,http://0.0.0.0:0/rtp/233.18.204.44:5140$1080p
金色学堂,http://0.0.0.0:0/rtp/233.18.204.14:5140$576p
金色学堂,http://0.0.0.0:0/rtp/233.18.204.66:5140$1080p
欢笑剧场,http://0.0.0.0:0/rtp/233.18.204.115:5140$2160p
欢笑剧场,http://0.0.0.0:0/rtp/233.18.204.205:5140$2160p
欢笑剧场,http://0.0.0.0:0/rtp/233.18.204.50:5140$1080p
天翼4K,http://0.0.0.0:0/rtp/233.18.204.201:5140$2160p
东方卫视4K,http://0.0.0.0:0/rtp/233.18.204.224:5140$2160p
北京卫视4K,http://0.0.0.0:0/rtp/233.18.204.209:5140$2160p
四川卫视4K,http://0.0.0.0:0/rtp/233.18.204.225:5140
山东卫视4K,http://0.0.0.0:0/rtp/233.18.204.228:5140$2160p
广东卫视4K,http://0.0.0.0:0/rtp/233.18.204.218:5140$2160p
江苏卫视4K,http://0.0.0.0:0/rtp/233.18.204.226:5140$2160p
浙江卫视4K,http://0.0.0.0:0/rtp/233.18.204.229:5140$2160p
深圳卫视4K,http://0.0.0.0:0/rtp/233.18.204.219:5140$2160p
湖南卫视4K,http://0.0.0.0:0/rtp/233.18.204.227:5140$2160p
三沙卫视,http://0.0.0.0:0/rtp/233.18.204.149:5140$576p
三沙卫视,http://0.0.0.0:0/rtp/233.18.204.172:5140$1080p
东南卫视,http://0.0.0.0:0/rtp/233.18.204.128:5140$576p
东南卫视,http://0.0.0.0:0/rtp/233.18.204.94:5140$1080p
东方卫视,http://0.0.0.0:0/rtp/233.18.204.1:5140$576p
东方卫视,http://0.0.0.0:0/rtp/233.18.204.51:5140$1080p
云南卫视,http://0.0.0.0:0/rtp/233.18.204.106:5140$1080p
云南卫视,http://0.0.0.0:0/rtp/233.18.204.136:5140$576p
兵团卫视,http://0.0.0.0:0/rtp/233.18.204.148:5140$576p
兵团卫视,http://0.0.0.0:0/rtp/233.18.204.221:5140$1080p
内蒙古卫视,http://0.0.0.0:0/rtp/233.18.204.141:5140$576p
内蒙古卫视,http://0.0.0.0:0/rtp/233.18.204.217:5140$1080p
北京卫视,http://0.0.0.0:0/rtp/233.18.204.118:5140$576p
北京卫视,http://0.0.0.0:0/rtp/233.18.204.210:5140$576p
北京卫视,http://0.0.0.0:0/rtp/233.18.204.87:5140$1080p
吉林卫视,http://0.0.0.0:0/rtp/233.18.204.108:5140$1080p
吉林卫视,http://0.0.0.0:0/rtp/233.18.204.131:5140$576p
四川卫视,http://0.0.0.0:0/rtp/233.18.204.124:5140$576p
四川卫视,http://0.0.0.0:0/rtp/233.18.204.99:5140$1080p
天津卫视,http://0.0.0.0:0/rtp/233.18.204.129:5140$576p
天津卫视,http://0.0.0.0:0/rtp/233.18.204.97:5140$1080p
宁夏卫视,http://0.0.0.0:0/rtp/233.18.204.117:5140$576p
宁夏卫视,http://0.0.0.0:0/rtp/233.18.204.230:5140$1080p
安徽卫视,http://0.0.0.0:0/rtp/233.18.204.127:5140$576p
安徽卫视,http://0.0.0.0:0/rtp/233.18.204.93:5140$1080p
山东卫视,http://0.0.0.0:0/rtp/233.18.204.125:5140$576p
山东卫视,http://0.0.0.0:0/rtp/233.18.204.91:5140$1080p
山西卫视,http://0.0.0.0:0/rtp/233.18.204.132:5140$576p
山西卫视,http://0.0.0.0:0/rtp/233.18.204.211:5140
广东卫视,http://0.0.0.0:0/rtp/233.18.204.138:5140$576p
广东卫视,http://0.0.0.0:0/rtp/233.18.204.88:5140$1080p
广西卫视,http://0.0.0.0:0/rtp/233.18.204.107:5140$1080p
延边卫视,http://0.0.0.0:0/rtp/233.18.204.155:5140$576p
新疆卫视,http://0.0.0.0:0/rtp/233.18.204.147:5140$576p
新疆卫视,http://0.0.0.0:0/rtp/233.18.204.220:5140$1080p
江苏卫视,http://0.0.0.0:0/rtp/233.18.204.120:5140$576p
江苏卫视,http://0.0.0.0:0/rtp/233.18.204.85:5140$1080p
江西卫视,http://0.0.0.0:0/rtp/233.18.204.130:5140$576p
江西卫视,http://0.0.0.0:0/rtp/233.18.204.95:5140$1080p
河北卫视,http://0.0.0.0:0/rtp/233.18.204.103:5140$1080p
河北卫视,http://0.0.0.0:0/rtp/233.18.204.140:5140$576p
河南卫视,http://0.0.0.0:0/rtp/233.18.204.105:5140$1080p
河南卫视,http://0.0.0.0:0/rtp/233.18.204.145:5140$576p
浙江卫视,http://0.0.0.0:0/rtp/233.18.204.121:5140$576p
浙江卫视,http://0.0.0.0:0/rtp/233.18.204.84:5140$1080p
海南卫视,http://0.0.0.0:0/rtp/233.18.204.102:5140$1080p
海南卫视,http://0.0.0.0:0/rtp/233.18.204.122:5140$576p
青海卫视,http://0.0.0.0:0/rtp/233.18.204.112:5140$1080p
深圳卫视,http://0.0.0.0:0/rtp/233.18.204.146:5140$576p
深圳卫视,http://0.0.0.0:0/rtp/233.18.204.89:5140$1080p
湖北卫视,http://0.0.0.0:0/rtp/233.18.204.142:5140$576p
湖北卫视,http://0.0.0.0:0/rtp/233.18.204.92:5140$1080p
湖南卫视,http://0.0.0.0:0/rtp/233.18.204.119:5140$576p
湖南卫视,http://0.0.0.0:0/rtp/233.18.204.86:5140$1080p
甘肃卫视,http://0.0.0.0:0/rtp/233.18.204.110:5140$1080p
甘肃卫视,http://0.0.0.0:0/rtp/233.18.204.137:5140$576p
广西卫视,http://0.0.0.0:0/rtp/233.18.204.123:5140$576p
西藏卫视,http://0.0.0.0:0/rtp/233.18.204.134:5140$576p
西藏卫视,http://0.0.0.0:0/rtp/233.18.204.222:5140$1080p
贵州卫视,http://0.0.0.0:0/rtp/233.18.204.101:5140$1080p
贵州卫视,http://0.0.0.0:0/rtp/233.18.204.144:5140$576p
辽宁卫视,http://0.0.0.0:0/rtp/233.18.204.126:5140$576p
辽宁卫视,http://0.0.0.0:0/rtp/233.18.204.96:5140$1080p
重庆卫视,http://0.0.0.0:0/rtp/233.18.204.100:5140$1080p
重庆卫视,http://0.0.0.0:0/rtp/233.18.204.143:5140$576p
陕西卫视,http://0.0.0.0:0/rtp/233.18.204.135:5140$576p
陕西卫视,http://0.0.0.0:0/rtp/233.18.204.223:5140
青海卫视,http://0.0.0.0:0/rtp/233.18.204.133:5140$576p
黑龙江卫视,http://0.0.0.0:0/rtp/233.18.204.139:5140$576p
黑龙江卫视,http://0.0.0.0:0/rtp/233.18.204.90:5140$1080p
党员远程教育,http://0.0.0.0:0/rtp/233.18.204.202:5140$1080p
党员远程教育,http://0.0.0.0:0/rtp/233.18.204.203:5140$576p
嘉佳卡通,http://0.0.0.0:0/rtp/233.18.204.151:5140$576p
央广购物,http://0.0.0.0:0/rtp/233.18.204.15:5140$576p
央广购物,http://0.0.0.0:0/rtp/233.18.204.39:5140$1080p
好享购物,http://0.0.0.0:0/rtp/233.18.204.36:5140$576p
家庭理财,http://0.0.0.0:0/rtp/233.18.204.157:5140$576p
快乐垂钓,http://0.0.0.0:0/rtp/233.18.204.42:5140$1080p
法治天地,http://0.0.0.0:0/rtp/233.18.204.12:5140$576p
法治天地,http://0.0.0.0:0/rtp/233.18.204.49:5140$1080p
电影,http://0.0.0.0:0/rtp/233.18.204.116:5140$1080p
茶频道,http://0.0.0.0:0/rtp/233.18.204.43:5140$1080p
财富天下,http://0.0.0.0:0/rtp/233.18.204.231:5140$1080p
财富天下,http://0.0.0.0:0/rtp/233.18.204.41:5140$576p
金鹰卡通,http://0.0.0.0:0/rtp/233.18.204.113:5140$1080p
金鹰卡通,http://0.0.0.0:0/rtp/233.18.204.150:5140$576p
金鹰纪实,http://0.0.0.0:0/rtp/233.18.204.104:5140$1080p
无信号,http://0.0.0.0:0/rtp/233.18.204.208:5140$576p
无信号,http://0.0.0.0:0/rtp/233.18.204.216:5140
未知,http://0.0.0.0:0/rtp/233.18.204.206:5140
未知,http://0.0.0.0:0/rtp/233.18.204.207:5140

上海电信-组播3,#genre#
BESTV,http://0.0.0.0:0/rtp/233.18.204.158:5140$1080p
BESTV,http://0.0.0.0:0/rtp/233.18.204.159:5140$1080p
BESTV,http://0.0.0.0:0/rtp/233.18.204.161:5140$1080p
BESTV,http://0.0.0.0:0/rtp/233.18.204.162:5140$1080p
BESTV,http://0.0.0.0:0/rtp/233.18.204.163:5140$1080p
BESTV,http://0.0.0.0:0/rtp/233.18.204.164:5140$1080p
BESTV,http://0.0.0.0:0/rtp/233.18.204.165:5140$1080p
BESTV,http://0.0.0.0:0/rtp/233.18.204.166:5140$1080p
BESTV,http://0.0.0.0:0/rtp/233.18.204.167:5140$1080p
BESTV,http://0.0.0.0:0/rtp/233.18.204.168:5140$1080p
BESTV,http://0.0.0.0:0/rtp/233.18.204.160:5140$1080p
BESTV4K动画,http://0.0.0.0:0/rtp/233.18.204.171:5140$2160p
BESTV4K电影,http://0.0.0.0:0/rtp/233.18.204.169:5140$2160p
BESTV4K纪录,http://0.0.0.0:0/rtp/233.18.204.170:5140$2160p
BRTV卡酷少儿,http://0.0.0.0:0/rtp/233.18.204.109:5140$1080p
BRTV卡酷少儿,http://0.0.0.0:0/rtp/233.18.204.152:5140$576p
CCTV-1 综合,http://0.0.0.0:0/rtp/233.18.204.20:5140$576p
CCTV-1 综合,http://0.0.0.0:0/rtp/233.18.204.52:5140$1080p
CCTV-2 财经,http://0.0.0.0:0/rtp/233.18.204.21:5140$576p
CCTV-2 财经,http://0.0.0.0:0/rtp/233.18.204.68:5140$1080p
CCTV-3 综艺,http://0.0.0.0:0/rtp/233.18.204.22:5140$576p
CCTV-3 综艺,http://0.0.0.0:0/rtp/233.18.204.69:5140$1080p
CCTV-4 中文国际,http://0.0.0.0:0/rtp/233.18.204.23:5140$576p
CCTV-4 中文国际,http://0.0.0.0:0/rtp/233.18.204.70:5140$1080p
CCTV-5 体育,http://0.0.0.0:0/rtp/233.18.204.24:5140$576p
CCTV-5 体育,http://0.0.0.0:0/rtp/233.18.204.71:5140$1080p
CCTV-5+ 体育赛事,http://0.0.0.0:0/rtp/233.18.204.67:5140$1080p
CCTV-6 电影,http://0.0.0.0:0/rtp/233.18.204.25:5140$576p
CCTV-6 电影,http://0.0.0.0:0/rtp/233.18.204.72:5140$1080p
CCTV-7 国防军事,http://0.0.0.0:0/rtp/233.18.204.26:5140$576p
CCTV-7 国防军事,http://0.0.0.0:0/rtp/233.18.204.73:5140$1080p
CCTV-8 电视剧,http://0.0.0.0:0/rtp/233.18.204.27:5140$576p
CCTV-8 电视剧,http://0.0.0.0:0/rtp/233.18.204.74:5140$1080p
CCTV-9 纪录,http://0.0.0.0:0/rtp/233.18.204.40:5140$576p
CCTV-9 纪录,http://0.0.0.0:0/rtp/233.18.204.75:5140$1080p
CCTV-10 科教,http://0.0.0.0:0/rtp/233.18.204.29:5140$576p
CCTV-10 科教,http://0.0.0.0:0/rtp/233.18.204.76:5140$1080p
CCTV-11 戏曲,http://0.0.0.0:0/rtp/233.18.204.30:5140$576p
CCTV-11 戏曲,http://0.0.0.0:0/rtp/233.18.204.77:5140$1080p
CCTV-12 社会与法,http://0.0.0.0:0/rtp/233.18.204.31:5140$576p
CCTV-12 社会与法,http://0.0.0.0:0/rtp/233.18.204.78:5140$1080p
CCTV-13 新闻,http://0.0.0.0:0/rtp/233.18.204.32:5140$576p
CCTV-13 新闻,http://0.0.0.0:0/rtp/233.18.204.79:5140$1080p
CCTV-14 少儿,http://0.0.0.0:0/rtp/233.18.204.33:5140$576p
CCTV-14 少儿,http://0.0.0.0:0/rtp/233.18.204.80:5140$1080p
CCTV-15 音乐,http://0.0.0.0:0/rtp/233.18.204.34:5140$576p
CCTV-15 音乐,http://0.0.0.0:0/rtp/233.18.204.81:5140$1080p
CCTV-16 奥林匹克,http://0.0.0.0:0/rtp/233.18.204.114:5140$2160p
CCTV-16 奥林匹克,http://0.0.0.0:0/rtp/233.18.204.215:5140$2160p
CCTV-16 奥林匹克,http://0.0.0.0:0/rtp/233.18.204.82:5140$1080p
CCTV-17 农业农村,http://0.0.0.0:0/rtp/233.18.204.35:5140$576p
CCTV-17 农业农村,http://0.0.0.0:0/rtp/233.18.204.83:5140$1080p
CCTV4K,http://0.0.0.0:0/rtp/233.18.204.188:5140$2160p
CCTV4K,http://0.0.0.0:0/rtp/233.18.204.204:5140$2160p
CCTV世界地理,http://0.0.0.0:0/rtp/233.18.204.179:5140$1080p
CCTV兵器科技,http://0.0.0.0:0/rtp/233.18.204.178:5140$1080p
CCTV央视台球,http://0.0.0.0:0/rtp/233.18.204.177:5140$1080p
CCTV央视文化精品,http://0.0.0.0:0/rtp/233.18.204.186:5140$1080p
CCTV女性时尚,http://0.0.0.0:0/rtp/233.18.204.180:5140$1080p
CCTV怀旧剧场,http://0.0.0.0:0/rtp/233.18.204.182:5140$1080p
CCTV第一剧场,http://0.0.0.0:0/rtp/233.18.204.184:5140$1080p
CCTV风云剧场,http://0.0.0.0:0/rtp/233.18.204.183:5140$1080p
CCTV风云足球,http://0.0.0.0:0/rtp/233.18.204.176:5140$1080p
CCTV风云音乐,http://0.0.0.0:0/rtp/233.18.204.185:5140$1080p
CCTV高尔夫网球,http://0.0.0.0:0/rtp/233.18.204.181:5140$1080p
CETV1,http://0.0.0.0:0/rtp/233.18.204.153:5140$576p
CETV1,http://0.0.0.0:0/rtp/233.18.204.98:5140$1080p
CETV2,http://0.0.0.0:0/rtp/233.18.204.154:5140$576p
CETV4,http://0.0.0.0:0/rtp/233.18.204.111:5140$1080p
CETV早期教育,http://0.0.0.0:0/rtp/233.18.204.187:5140$1080p
CGTN,http://0.0.0.0:0/rtp/233.18.204.28:5140$576p
CHC动作电影,http://0.0.0.0:0/rtp/233.18.204.174:5140$1080p
CHC家庭影院,http://0.0.0.0:0/rtp/233.18.204.173:5140$1080p
CHC影迷电影,http://0.0.0.0:0/rtp/233.18.204.175:5140$1080p
上海新闻综合,http://0.0.0.0:0/rtp/233.18.204.189:5140$576p
上海新闻综合,http://0.0.0.0:0/rtp/233.18.204.57:5140$1080p
上海都市,http://0.0.0.0:0/rtp/233.18.204.2:5140$576p
上海都市,http://0.0.0.0:0/rtp/233.18.204.53:5140$1080p
上海教育,http://0.0.0.0:0/rtp/233.18.204.11:5140$576p
上海教育,http://0.0.0.0:0/rtp/233.18.204.63:5140$1080p
东方影视,http://0.0.0.0:0/rtp/233.18.204.4:5140$576p
东方影视,http://0.0.0.0:0/rtp/233.18.204.55:5140$1080p
东方财经,http://0.0.0.0:0/rtp/233.18.204.65:5140$1080p
东方购物,http://0.0.0.0:0/rtp/233.18.204.10:5140$576p
东方购物,http://0.0.0.0:0/rtp/233.18.204.61:5140$1080p
东方购物,http://0.0.0.0:0/rtp/233.18.204.62:5140$1080p
东方购物,http://0.0.0.0:0/rtp/233.18.204.9:5140$576p
乐游,http://0.0.0.0:0/rtp/233.18.204.47:5140$1080p
五星体育,http://0.0.0.0:0/rtp/233.18.204.58:5140$1080p
五星体育,http://0.0.0.0:0/rtp/233.18.204.6:5140$576p
动漫秀场,http://0.0.0.0:0/rtp/233.18.204.46:5140$1080p
哈哈炫动,http://0.0.0.0:0/rtp/233.18.204.54:5140$1080p
哈哈炫动,http://0.0.0.0:0/rtp/233.18.204.7:5140$576p
生活时尚,http://0.0.0.0:0/rtp/233.18.204.45:5140$1080p
都市剧场,http://0.0.0.0:0/rtp/233.18.204.48:5140$1080p
第一财经,http://0.0.0.0:0/rtp/233.18.204.59:5140$1080p
第一财经,http://0.0.0.0:0/rtp/233.18.204.5:5140$576p
游戏风云,http://0.0.0.0:0/rtp/233.18.204.13:5140$576p
游戏风云,http://0.0.0.0:0/rtp/233.18.204.44:5140$1080p
金色学堂,http://0.0.0.0:0/rtp/233.18.204.14:5140$576p
金色学堂,http://0.0.0.0:0/rtp/233.18.204.66:5140$1080p
欢笑剧场,http://0.0.0.0:0/rtp/233.18.204.115:5140$2160p
欢笑剧场,http://0.0.0.0:0/rtp/233.18.204.205:5140$2160p
欢笑剧场,http://0.0.0.0:0/rtp/233.18.204.50:5140$1080p
天翼4K,http://0.0.0.0:0/rtp/233.18.204.201:5140$2160p
